Category,Template
Adaptability,I constructively approach new and unexpected events or announcements.
Adaptability,I am open to work on the tasks not entirely related to my position.
Attitude,I aim to create a positive working environment around myself.
Attitude,I react constructively after making a mistake.
Communication,I communicate ideas well verbally.
Communication,I don\'t have misunderstandings with my teammates.
Communication,I communicate ideas well in writing.
Cross-functional Knowledge,I am open to learn new things and expand my professional expertise.
Cross-functional Knowledge,"I have knowledge and experience that goes beyond my job responsibilities, i.e., tools, methodologies, frameworks."
Dependability,I achieve my objectives and goals.
Dependability,I follow team standards and processes.
Dependability,I pay attention to detail.
Initiative,"I am proactive in suggesting solutions and improvements, i.e., code quality, process, etc."
Initiative,I take fast and informed decisions.My teammates trust the choices that I make.
Leadership,I constructively handle (critical) feedback.
Leadership,I provide constructive feedback to individual teammates and the team.
Leadership,I value contributions and opinions of other teammates.
Organization,I am well organized.
Organization,I can organize teamwork.
Organization,I am a productive employee.
Responsibility,I keep personal involvement high and support the team when the project gets delayed or stuck.
Responsibility,I always finish my initiatives.
Self-Improvement,I set clear and measurable goals for myself.
Self-Improvement,"I use means at my disposal (conferences, books, webinars) for continuous self-improvement."
Teamwork,I offer support to the other team members when needed.
Teamwork,I am a team player.
Teamwork,I collaborate and build a relationship with the team.
Tech. Expertise,I possess all required (tech.) skills for doing my job.
Tech. Expertise,I can teach to other teammates in some/any technical discipline.
